milk,calories,sugar_g,caffeine_mg
2%,270.89473684210526,40.26842105263158,90.73684210526316
Coconut,241.47368421052633,37.526315789473685,91.10526315789474
None,71.04242424242425,15.206060606060607,93.44242424242424
Nonfat,225.72072072072072,38.0945945945946,94.27927927927928
Soy,248.97368421052633,35.47894736842105,90.63157894736842
Whole,292.0,40.26842105263158,90.73684210526316
