Beverage_Category,total_fat_g,total_carbs_g,sugar_g,fiber_g
Coffee,0.8851351351351351,20.77027027027027,20.756756756756758,0.02702702702702703
Espresso Drinks,0.32499999999999996,2.4166666666666665,0.1111111111111111,0.0
Frappuccino,7.681000000000001,57.123333333333335,54.69,0.7733333333333333
Other,7.918644067796611,35.580037664783426,32.11864406779661,1.1167608286252355
Smoothie,2.7333333333333334,55.0,36.8,7.066666666666666
Tea,2.4528795811518322,25.036649214659686,24.005235602094242,0.31413612565445026
