product_name,size,milk,whip,serv_size_m_l,calories,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugar_g,caffeine_mg,calories_per_ml,sugar_to_calorie_ratio,Beverage_Category
Caffè Vanilla Frappuccino Blended,venti,2%,0,709,400,3.0,1.5,0.1,10,290,88,0,86,125,0.5641748942172073,0.215,Frappuccino
Caffè Vanilla Frappuccino Blended,venti,2%,1,709,510,14.0,8.0,0.4,55,300,91,0,88,125,0.7193229901269393,0.17254901960784313,Frappuccino
Caffè Vanilla Frappuccino Blended,venti,Whole,0,709,410,5.0,2.5,0.1,15,290,88,0,86,125,0.5782792665726375,0.2097560975609756,Frappuccino
Caffè Vanilla Frappuccino Blended,venti,Whole,1,709,530,16.0,10.0,0.5,55,300,91,0,88,125,0.7475317348377997,0.1660377358490566,Frappuccino
Caffè Vanilla Frappuccino Blended,venti,Soy,0,709,380,2.5,0.3,0.0,0,280,86,1,82,125,0.535966149506347,0.21578947368421053,Frappuccino
Caffè Vanilla Frappuccino Blended,venti,Soy,1,709,500,14.0,7.0,0.3,40,290,89,1,85,125,0.7052186177715092,0.17,Frappuccino
Caffè Vanilla Frappuccino Blended,venti,Coconut,0,709,380,3.0,3.0,0.0,0,280,87,0,84,125,0.535966149506347,0.22105263157894736,Frappuccino
Caffè Vanilla Frappuccino Blended,venti,Coconut,1,709,490,14.0,10.0,0.3,40,290,90,0,87,125,0.691114245416079,0.17755102040816326,Frappuccino
Caramel Frappuccino Blended,tall,Nonfat,0,354,180,0.1,0.0,0.0,0,160,42,0,42,70,0.5084745762711864,0.23333333333333334,Frappuccino
Caramel Frappuccino Blended,tall,Nonfat,1,354,280,9.0,5.0,0.2,35,180,47,0,47,70,0.7909604519774012,0.16785714285714284,Frappuccino
Caramel Frappuccino Blended,tall,2%,0,354,190,1.5,1.0,0.1,5,170,42,0,42,70,0.536723163841808,0.22105263157894736,Frappuccino
Caramel Frappuccino Blended,tall,2%,1,354,290,10.0,6.0,0.3,40,180,47,0,46,70,0.8192090395480226,0.15862068965517243,Frappuccino
Caramel Frappuccino Blended,tall,Whole,0,354,200,2.5,1.5,0.1,10,160,42,0,42,70,0.5649717514124294,0.21,Frappuccino
Caramel Frappuccino Blended,tall,Whole,1,354,300,11.0,7.0,0.3,40,180,47,0,46,70,0.847457627118644,0.15333333333333332,Frappuccino
Caramel Frappuccino Blended,tall,Soy,0,354,190,1.5,0.2,0.0,0,160,41,0,40,70,0.536723163841808,0.21052631578947367,Frappuccino
Caramel Frappuccino Blended,tall,Soy,1,354,280,10.0,6.0,0.2,30,170,46,0,45,70,0.7909604519774012,0.16071428571428573,Frappuccino
Caramel Frappuccino Blended,tall,Coconut,0,354,180,2.0,1.5,0.0,0,160,41,0,40,70,0.5084745762711864,0.2222222222222222,Frappuccino
Caramel Frappuccino Blended,tall,Coconut,1,354,280,10.0,7.0,0.2,30,170,46,0,45,70,0.7909604519774012,0.16071428571428573,Frappuccino
Caramel Frappuccino Blended,grande,Nonfat,0,473,260,0.1,0.1,0.0,0,230,60,0,60,100,0.5496828752642706,0.23076923076923078,Frappuccino
Caramel Frappuccino Blended,grande,Nonfat,1,473,390,12.0,8.0,0.3,45,240,67,0,66,100,0.8245243128964059,0.16923076923076924,Frappuccino
Caramel Frappuccino Blended,grande,2%,0,473,270,2.0,1.5,0.1,10,230,60,0,60,100,0.5708245243128964,0.2222222222222222,Frappuccino
Caramel Frappuccino Blended,grande,2%,1,473,410,14.0,9.0,0.4,50,250,67,0,66,100,0.8668076109936576,0.16097560975609757,Frappuccino
Caramel Frappuccino Blended,grande,Whole,0,473,280,3.5,2.0,0.1,10,230,60,0,60,100,0.5919661733615222,0.21428571428571427,Frappuccino
Caramel Frappuccino Blended,grande,Whole,1,473,420,15.0,9.0,0.4,55,250,67,0,66,100,0.8879492600422833,0.15714285714285714,Frappuccino
Caramel Frappuccino Blended,grande,Soy,0,473,260,1.5,0.2,0.0,0,220,59,0,57,100,0.5496828752642706,0.21923076923076923,Frappuccino
Caramel Frappuccino Blended,grande,Soy,1,473,400,14.0,8.0,0.3,45,240,65,0,63,100,0.8456659619450317,0.1575,Frappuccino
Caramel Frappuccino Blended,grande,Coconut,0,473,260,2.0,2.0,0.0,0,220,59,0,58,100,0.5496828752642706,0.2230769230769231,Frappuccino
Caramel Frappuccino Blended,grande,Coconut,1,473,390,14.0,10.0,0.3,45,240,65,0,64,100,0.8245243128964059,0.1641025641025641,Frappuccino
Caramel Frappuccino Blended,venti,Nonfat,0,709,340,0.1,0.1,0.0,5,300,79,0,78,130,0.4795486600846262,0.22941176470588234,Frappuccino
Caramel Frappuccino Blended,venti,Nonfat,1,709,470,12.0,8.0,0.3,45,320,85,0,84,130,0.6629055007052186,0.17872340425531916,Frappuccino
Caramel Frappuccino Blended,venti,2%,0,709,360,3.0,2.0,0.1,10,310,78,0,78,130,0.5077574047954866,0.21666666666666667,Frappuccino
Caramel Frappuccino Blended,venti,2%,1,709,500,15.0,9.0,0.5,55,330,85,0,84,130,0.7052186177715092,0.168,Frappuccino
Caramel Frappuccino Blended,venti,Whole,0,709,380,5.0,3.0,0.1,15,300,78,0,78,130,0.535966149506347,0.20526315789473684,Frappuccino
Caramel Frappuccino Blended,venti,Whole,1,709,510,17.0,10.0,0.5,60,320,85,0,84,130,0.7193229901269393,0.16470588235294117,Frappuccino
Caramel Frappuccino Blended,venti,Soy,0,709,350,2.5,0.3,0.0,0,290,76,1,74,130,0.4936530324400564,0.21142857142857144,Frappuccino
Caramel Frappuccino Blended,venti,Soy,1,709,480,14.0,8.0,0.3,45,310,83,1,80,130,0.6770098730606487,0.16666666666666666,Frappuccino
Caramel Frappuccino Blended,venti,Coconut,0,709,340,3.5,3.0,0.0,0,300,76,0,75,130,0.4795486600846262,0.22058823529411764,Frappuccino
Caramel Frappuccino Blended,venti,Coconut,1,709,470,15.0,11.0,0.3,45,320,83,0,81,130,0.6629055007052186,0.1723404255319149,Frappuccino
Coffee Frappuccino Blended,tall,Nonfat,0,354,160,0.1,0.0,0.0,0,160,36,0,36,70,0.4519774011299435,0.225,Coffee
Coffee Frappuccino Blended,tall,2%,0,354,170,1.5,1.0,0.0,5,160,36,0,36,70,0.480225988700565,0.21176470588235294,Coffee
Coffee Frappuccino Blended,tall,Whole,0,354,180,2.5,1.5,0.1,10,160,36,0,36,70,0.5084745762711864,0.2,Coffee
Coffee Frappuccino Blended,tall,Soy,0,354,160,1.5,0.2,0.0,0,150,35,0,34,70,0.4519774011299435,0.2125,Coffee
Coffee Frappuccino Blended,tall,Coconut,0,354,160,2.0,1.5,0.0,0,150,36,0,35,70,0.4519774011299435,0.21875,Coffee
Coffee Frappuccino Blended,grande,Nonfat,0,473,220,0.1,0.1,0.0,0,210,51,0,50,95,0.46511627906976744,0.22727272727272727,Coffee
Coffee Frappuccino Blended,grande,2%,0,473,230,2.0,1.0,0.1,10,220,50,0,50,95,0.48625792811839325,0.21739130434782608,Coffee
Coffee Frappuccino Blended,grande,Whole,0,473,240,3.0,2.0,0.1,10,220,50,0,50,95,0.507399577167019,0.20833333333333334,Coffee
Coffee Frappuccino Blended,grande,Soy,0,473,220,1.5,0.2,0.0,0,210,49,0,47,95,0.46511627906976744,0.21363636363636362,Coffee
Coffee Frappuccino Blended,grande,Coconut,0,473,220,2.0,2.0,0.0,0,210,50,0,49,95,0.46511627906976744,0.22272727272727272,Coffee
Coffee Frappuccino Blended,venti,Nonfat,0,709,310,0.1,0.1,0.0,5,300,70,0,69,130,0.43723554301833567,0.22258064516129034,Coffee
Coffee Frappuccino Blended,venti,2%,0,709,330,3.0,1.5,0.1,10,310,70,0,69,130,0.46544428772919605,0.20909090909090908,Coffee
Coffee Frappuccino Blended,venti,Whole,0,709,350,5.0,3.0,0.2,15,300,70,0,69,130,0.4936530324400564,0.19714285714285715,Coffee
Coffee Frappuccino Blended,venti,Soy,0,709,310,2.5,0.3,0.0,0,300,68,1,66,130,0.43723554301833567,0.2129032258064516,Coffee
Coffee Frappuccino Blended,venti,Coconut,0,709,310,3.5,3.0,0.0,0,300,69,0,68,135,0.43723554301833567,0.21935483870967742,Coffee
Espresso Frappuccino Blended,tall,Nonfat,0,354,150,0.0,0.0,0.0,0,135,34,0,33,130,0.423728813559322,0.22,Frappuccino
Espresso Frappuccino Blended,tall,2%,0,354,150,1.0,0.5,0.0,5,140,34,0,33,130,0.423728813559322,0.22,Frappuccino
Espresso Frappuccino Blended,tall,Whole,0,354,160,1.5,1.0,0.0,5,140,34,0,33,130,0.4519774011299435,0.20625,Frappuccino
Espresso Frappuccino Blended,tall,Soy,0,354,150,1.0,0.1,0.0,0,135,33,0,31,130,0.423728813559322,0.20666666666666667,Frappuccino
Espresso Frappuccino Blended,tall,Coconut,0,354,150,1.0,1.0,0.0,0,135,34,0,32,130,0.423728813559322,0.21333333333333335,Frappuccino
Espresso Frappuccino Blended,grande,Nonfat,0,473,210,0.1,0.0,0.0,0,200,50,0,49,165,0.4439746300211416,0.23333333333333334,Frappuccino
Espresso Frappuccino Blended,grande,2%,0,473,220,1.5,0.5,0.0,5,210,50,0,48,165,0.46511627906976744,0.21818181818181817,Frappuccino
Espresso Frappuccino Blended,grande,Whole,0,473,230,2.5,1.5,0.1,5,200,50,0,48,165,0.48625792811839325,0.20869565217391303,Frappuccino
Espresso Frappuccino Blended,grande,Soy,0,473,220,1.0,0.1,0.0,0,200,49,0,47,165,0.46511627906976744,0.21363636363636362,Frappuccino
